skew_strength,average_pnl,average_absolute_inventory
0.0,3.138703982735825,4.38
0.005,3.1900555770367824,4.36
0.01,2.8250729606093934,4.184
0.02,2.2917823439211578,3.506
0.05,0.5031998367843596,2.45
0.1,0.18255437634272073,1.758
